"repository_path","file_type","size_bytes","modified_utc","sha256","inspection_status","inspected_lines"
"docs/TOPOLOGY_GENERATION_ASSESSMENT.html",".html","25370","2026-09-22T18:53:54.0448891Z","527d20e6c2a7c9b081c23eea6dffa91855b2c4a5e52aec43fed5012e4fd33c4a","METADATA_ONLY",
"docs/architecture/Topology Guide.docx",".docx","171024","2026-09-22T18:53:54.0484456Z","73881e6258b6f12a7dba72f44184f7724fc4494216d70a2e13fdee4957a8955e","METADATA_ONLY",
"docs/implementation/topology-implementation-plan.md",".md","136213","2026-09-24T12:08:58.1281465Z","360e74f49520156998d6cbc9c5f5b5b5b4d2697f12207c547a26d0c6c41218aa","PARTIAL_TEXT_INSPECTION","1-62"
"docs/topology-implementation-plan.html",".html","154354","2026-09-24T12:08:58.1755914Z","35ed2b1ddf3c9f80d817b217b0a234bc00cbc00060eed4cc7d2afcd78a946ecd","METADATA_ONLY",
"docs/development/topo_9_24/AWS__input_Outpost_Topology_UNRESOLVED_UNRESOLVED-v1.7.drawio",".drawio","122524","2026-09-23T11:46:40.2883528Z","1975ea8e046760e359a4339e1d259b418ff7eeff0c4f6881555e01b0b2d84acb","METADATA_ONLY",
"docs/development/topo_9_24/CCPM_out_put_18678_TargetState_AWS_OutPosts_v01 (1).drawio",".drawio","720354","2026-09-17T16:11:41.2327127Z","3df0f756a748277a6cc7d32abffdba8737ee463dcf7dc913cba721e89d0dc8af","METADATA_ONLY",
"docs/development/topo_9_24/Topology Guide.docx",".docx","171024","2026-09-18T12:20:58.6804466Z","73881e6258b6f12a7dba72f44184f7724fc4494216d70a2e13fdee4957a8955e","METADATA_ONLY",
"STATE.md",".md","103064","2026-09-24T12:08:58.1235469Z","402db688b37c40b9e1186afd175ebef5f38abcd9edb15230c4253a7d400162f3","PARTIAL_TEXT_INSPECTION","1-85"
"README.md",".md","3960","2026-09-24T12:08:58.1199617Z","3bbd206744af72fbbbdcd703deb0aa5452a14570ffc040ce79eba2be5a08d819","METADATA_ONLY",
"AGENTS.md",".md","4383","2026-09-21T19:19:36.8630029Z","9b12a0be0686f1aa282cd1f5ac1f1622dea3a5c24a8800d5c6b84533d2dce0db","METADATA_ONLY",
